asset,value,metric,Date,index
SPX,0,missing,,
GOLD,0,missing,,
BTC,0,missing,,
,0,duplicates,,
,B,frequency,,
SPX,4796.56005859375,head_tail,2022-01-03,
SPX,4793.5400390625,head_tail,2022-01-04,
SPX,4700.580078125,head_tail,2022-01-05,
SPX,4696.0498046875,head_tail,2022-01-06,
SPX,4677.02978515625,head_tail,2022-01-07,
SPX,6037.58984375,head_tail,2024-12-26,
SPX,5970.83984375,head_tail,2024-12-27,
SPX,5906.93994140625,head_tail,2024-12-30,
SPX,5881.6298828125,head_tail,2024-12-31,
SPX,5881.6298828125,head_tail,2025-01-01,
GOLD,1799.4000244140625,head_tail,2022-01-03,
GOLD,1814.0,head_tail,2022-01-04,
GOLD,1824.5999755859375,head_tail,2022-01-05,
GOLD,1788.699951171875,head_tail,2022-01-06,
GOLD,1797.0,head_tail,2022-01-07,
GOLD,2638.800048828125,head_tail,2024-12-26,
GOLD,2617.199951171875,head_tail,2024-12-27,
GOLD,2606.10009765625,head_tail,2024-12-30,
GOLD,2629.199951171875,head_tail,2024-12-31,
GOLD,2629.199951171875,head_tail,2025-01-01,
BTC,46458.1171875,head_tail,2022-01-03,
BTC,45897.57421875,head_tail,2022-01-04,
BTC,43569.00390625,head_tail,2022-01-05,
BTC,43160.9296875,head_tail,2022-01-06,
BTC,41557.90234375,head_tail,2022-01-07,
BTC,95795.515625,head_tail,2024-12-26,
BTC,94164.859375,head_tail,2024-12-27,
BTC,92643.2109375,head_tail,2024-12-30,
BTC,93429.203125,head_tail,2024-12-31,
BTC,93429.203125,head_tail,2025-01-01,
volatility,0.010809674595811787,return_stats,,SPX
volatility,0.009008977019610741,return_stats,,GOLD
volatility,0.034926663847220665,return_stats,,BTC
skew,-0.15935332583899806,return_stats,,SPX
skew,-0.2192928553484874,return_stats,,GOLD
skew,0.019727719770710868,return_stats,,BTC
kurtosis,2.0005488763628256,return_stats,,SPX
kurtosis,1.0866464758615355,return_stats,,GOLD
kurtosis,5.646002094861419,return_stats,,BTC
SPX,1.0,correlation_matrix,,SPX
SPX,0.10050526104786381,correlation_matrix,,GOLD
SPX,0.4168588208150051,correlation_matrix,,BTC
GOLD,0.10050526104786381,correlation_matrix,,SPX
GOLD,1.0,correlation_matrix,,GOLD
GOLD,0.10343914249473288,correlation_matrix,,BTC
BTC,0.4168588208150051,correlation_matrix,,SPX
BTC,0.10343914249473288,correlation_matrix,,GOLD
BTC,1.0,correlation_matrix,,BTC
